Symbol,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range,Day Chart
"AFRM Affirm Holdings, Inc.",41.57 -2.44 (-5.54%),-2.44,-5.54%,12.028M,8.181M,12.933B,-,100.68%,,
PDD PDD Holdings Inc.,97.69 +1.58 (+1.64%),+1.58,+1.64%,11.956M,10.476M,135.669B,10.32,-4.90%,,
"MRVL Marvell Technology, Inc.",70.68 -5.56 (-7.29%),-5.56,-7.29%,11.948M,11.228M,61.227B,-,31.70%,,
CLF Cleveland-Cliffs Inc.,12.12 -0.94 (-7.17%),-0.94,-7.17%,11.71M,10.514M,5.674B,134.70,-13.85%,,
SIRI Sirius XM Holdings Inc.,3.1100 -0.1800 (-5.47%),-0.1800,-5.47%,11.597M,38.866M,11.975B,9.42,-23.13%,,
GOLD Barrick Gold Corporation,19.60 -0.59 (-2.90%),-0.59,-2.90%,11.442M,21.209M,34.362B,22.80,26.82%,,
DELL Dell Technologies Inc.,111.38 -4.16 (-3.60%),-4.16,-3.60%,11.407M,13.176M,78.78B,20.51,69.66%,,
"DYN Dyne Therapeutics, Inc.",31.04 -15.05 (-32.65%),-15.05,-32.65%,11.33M,1.007M,3.116B,-,295.28%,,
LYG Lloyds Banking Group plc,2.9700 -0.0900 (-2.94%),-0.0900,-2.94%,10.86M,9.613M,46.183B,8.03,49.27%,,
ET Energy Transfer LP,16.11 +0.01 (+0.06%),+0.01,+0.06%,10.774M,15.575M,55.132B,13.54,16.84%,,
UMC United Microelectronics Corporation,8.28 -0.49 (-5.53%),-0.49,-5.53%,10.37M,12.4M,20.76B,12.55,19.16%,,
MSFT Microsoft Corporation,410.24 -6.90 (-1.65%),-6.90,-1.65%,10.325M,19.633M,3.049T,34.74,25.06%,,
CMCSA Comcast Corporation,39.63 +0.06 (+0.16%),+0.06,+0.16%,10.123M,19.007M,153.487B,10.54,-11.20%,,
GME GameStop Corp.,22.95 -0.47 (-1.99%),-0.47,-1.99%,9.968M,32.002M,9.784B,286.94,21.79%,,
OXY Occidental Petroleum Corporation,55.53 -1.45 (-2.54%),-1.45,-2.54%,9.742M,8.728M,50.876B,14.39,-13.90%,,
"MPW Medical Properties Trust, Inc.",4.5650 +0.0650 (+1.44%),+0.0650,+1.44%,9.454M,12.091M,2.74B,-,-36.89%,,
"CX CEMEX, S.A.B. de C.V.",5.99 -0.14 (-2.37%),-0.14,-2.37%,9.413M,10.503M,8.683B,46.04,-20.80%,,
WFC Wells Fargo & Company,58.46 -0.01 (-0.03%),-0.01,-0.03%,9.226M,17.042M,198.967B,11.98,40.76%,,
AGNC AGNC Investment Corp.,10.23 +0.02 (+0.15%),+0.02,+0.15%,9.126M,14.191M,8.001B,26.91,4.61%,,
SLB Schlumberger Limited,42.28 -1.71 (-3.88%),-1.71,-3.88%,9.015M,9.779M,60.038B,13.82,-26.94%,,
BTG B2Gold Corp.,2.6950 -0.1050 (-3.76%),-0.1050,-3.76%,8.913M,11.447M,3.539B,-,-6.98%,,
HPE Hewlett Packard Enterprise Company,19.10 -0.27 (-1.37%),-0.27,-1.37%,8.959M,15.846M,24.83B,13.95,8.76%,,
"CMG Chipotle Mexican Grill, Inc.",53.56 -2.53 (-4.50%),-2.53,-4.50%,8.882M,20.303M,73.343B,52.50,43.69%,,
GM General Motors Company,48.22 -1.56 (-3.13%),-1.56,-3.13%,8.829M,14.348M,54.195B,5.42,49.58%,,
"META Meta Platforms, Inc.",513.21 -8.10 (-1.55%),-8.10,-1.55%,8.729M,13.92M,1.298T,26.25,73.68%,,
XOM Exxon Mobil Corporation,115.80 -2.14 (-1.81%),-2.14,-1.81%,8.568M,14.365M,514.48B,13.85,3.88%,,
KEY KeyCorp,16.71 -0.35 (-2.05%),-0.35,-2.05%,8.593M,14.97M,15.509B,21.99,48.74%,,
KSS Kohl's Corporation,20.05 +0.66 (+3.38%),+0.66,+3.38%,8.445M,6.018M,2.229B,7.86,-22.75%,,
KO The Coca-Cola Company,72.95 +0.48 (+0.66%),+0.48,+0.66%,8.465M,12.61M,314.405B,29.65,23.21%,,
HL Hecla Mining Company,5.36 -0.57 (-9.53%),-0.57,-9.53%,8.409M,8.34M,3.331B,-,42.21%,,
"SMCI Super Micro Computer, Inc.",445.37 +7.67 (+1.75%),+7.67,+1.75%,8.368M,7.682M,26.079B,22.17,56.17%,,
DG Dollar General Corporation,84.61 +1.64 (+1.98%),+1.64,+1.98%,8.036M,3.285M,18.608B,13.16,-34.78%,,
"HOOD Robinhood Markets, Inc.",19.41 -0.72 (-3.55%),-0.72,-3.55%,7.985M,15.519M,17.167B,62.60,85.95%,,
"UBER Uber Technologies, Inc.",71.73 -1.40 (-1.91%),-1.40,-1.91%,7.99M,15.983M,150.7B,77.97,57.10%,,
KVUE Kenvue Inc.,22.17 +0.22 (+1.03%),+0.22,+1.03%,7.961M,18.224M,42.469B,38.90,-2.92%,,
"ASTS AST SpaceMobile, Inc.",29.26 +0.22 (+0.76%),+0.22,+0.76%,7.567M,14.543M,8.055B,-,648.45%,,
CSX CSX Corporation,34.51 +0.24 (+0.71%),+0.24,+0.71%,7.431M,10.75M,66.916B,18.86,14.54%,,
"COIN Coinbase Global, Inc.",170.80 -12.56 (-6.85%),-12.56,-6.85%,7.341M,7.882M,42.44B,30.34,136.59%,,
"CORZ Core Scientific, Inc.",9.54 -0.78 (-7.56%),-0.78,-7.56%,7.292M,14.984M,2.463B,-,200.00%,,
BABA Alibaba Group Holding Limited,82.06 -1.28 (-1.54%),-1.28,-1.54%,7.215M,13.17M,197.203B,20.88,-11.95%,,
CNH CNH Industrial N.V.,10.07 -0.27 (-2.56%),-0.27,-2.56%,7.141M,7.616M,12.632B,6.54,-26.04%,,
CVS CVS Health Corporation,57.51 +0.27 (+0.47%),+0.27,+0.47%,7.106M,9.339M,72.346B,10.23,-12.76%,,
BP BP p.l.c.,32.81 -1.15 (-3.40%),-1.15,-3.40%,7.097M,6.769M,89.507B,12.72,-11.56%,,
"CSCO Cisco Systems, Inc.",50.12 -0.42 (-0.84%),-0.42,-0.84%,7.089M,19.978M,201.904B,19.73,-11.74%,,
